dstport,protocol,tag
11840,tcp,sv_P4
33500,udp,sv_P5
41865,udp,sv_P5
50311,udp,sv_P3
6196,icmp,sv_P4
5999,icmp,sv_P3
41770,udp,sv_P4
50144,icmp,email
64356,tcp,email
53576,icmp,sv_P2
58807,udp,sv_P4
11597,icmp,sv_P4
60391,tcp,sv_P3
30953,udp,sv_P3
11474,tcp,email
9915,tcp,sv_P3
26603,udp,sv_P5
20129,udp,sv_P1
27952,udp,sv_P4
62575,tcp,sv_P1
22669,icmp,sv_P5
61385,udp,sv_P1
17655,tcp,email
44661,icmp,sv_P4
55713,icmp,sv_P1
60093,icmp,email
46844,udp,sv_P1
50777,tcp,sv_P3
44567,icmp,sv_P3
10244,icmp,sv_P5
6708,tcp,sv_P2
32376,udp,email
57785,udp,sv_P2
53870,icmp,sv_P4
17319,tcp,sv_P1
59730,tcp,sv_P1
8502,icmp,sv_P3
13046,udp,sv_P2
47105,tcp,sv_P4
19698,tcp,sv_P3
2495,tcp,sv_P4
7685,udp,email
51269,icmp,sv_P1
17090,icmp,sv_P1
46144,tcp,sv_P1
63221,udp,sv_P2
16657,icmp,sv_P3
42974,udp,email
48304,udp,sv_P5
49151,tcp,sv_P1
58555,tcp,sv_P5
54433,udp,sv_P4
26229,tcp,sv_P1
24122,tcp,sv_P3
3950,icmp,email
25001,tcp,sv_P1
55447,tcp,sv_P4
25550,icmp,sv_P4
260,udp,sv_P3
36654,udp,sv_P1
43111,icmp,sv_P1
16688,udp,sv_P3
61551,icmp,sv_P4
7025,udp,sv_P3
32218,icmp,email
20368,icmp,email
15712,tcp,sv_P2
11535,icmp,sv_P3
37074,icmp,sv_P1
44047,icmp,sv_P5
7160,tcp,sv_P3
47465,udp,sv_P2
52760,udp,sv_P3
17131,icmp,sv_P4
19998,icmp,sv_P1
52403,tcp,sv_P3
32667,icmp,email
21173,udp,sv_P5
24113,udp,sv_P4
18421,tcp,sv_P5
62378,icmp,sv_P4
23372,udp,sv_P1
39883,icmp,sv_P3
50492,tcp,sv_P1
27224,tcp,sv_P4
5585,icmp,sv_P2
36015,udp,sv_P4
40932,tcp,sv_P2
45633,udp,sv_P5
21154,udp,sv_P1
21305,icmp,sv_P1
55932,udp,sv_P5
6721,tcp,sv_P5
40813,tcp,email
37237,tcp,email
51081,udp,sv_P5
2903,icmp,sv_P1
8284,tcp,sv_P3
27776,icmp,sv_P4
31821,icmp,sv_P5
55651,icmp,email
33813,tcp,sv_P3
48129,icmp,sv_P1
36970,tcp,sv_P1
34567,udp,sv_P4
28198,udp,email
44618,icmp,sv_P1
34681,udp,sv_P3
2164,tcp,sv_P3
19320,icmp,sv_P1
20332,icmp,sv_P3
29733,udp,email
3933,udp,email
62104,tcp,sv_P5
39772,udp,sv_P3
45101,tcp,sv_P4
27166,udp,sv_P5
20256,icmp,sv_P3
15668,udp,sv_P4
31033,udp,sv_P3
47999,tcp,email
35897,tcp,sv_P4
6263,tcp,sv_P5
58855,tcp,email
9888,tcp,sv_P3
47943,icmp,email
8121,udp,sv_P2
17307,udp,sv_P5
13303,udp,sv_P5
8933,icmp,email
45566,icmp,sv_P4
3974,tcp,sv_P2
46780,tcp,sv_P5
34945,udp,sv_P2
7032,tcp,email
48609,icmp,sv_P1
59316,tcp,email
42306,icmp,email
65450,udp,sv_P5
51579,icmp,sv_P1
33772,tcp,sv_P2
43769,icmp,sv_P2
16351,udp,sv_P3
15476,udp,sv_P1
11443,udp,sv_P4
63029,udp,sv_P1
2629,tcp,sv_P1
18595,tcp,sv_P5
36375,icmp,email
32432,udp,email
7076,tcp,email
14646,icmp,sv_P4
26302,udp,sv_P4
24157,icmp,sv_P1
40873,icmp,sv_P1
53888,tcp,sv_P2
37952,udp,sv_P5
20679,udp,sv_P3
3876,udp,email
55708,tcp,sv_P4
48405,icmp,email
20272,udp,sv_P3
63601,tcp,sv_P2
20670,tcp,sv_P3
44928,udp,sv_P5
36341,tcp,sv_P5
47099,icmp,sv_P1
39809,icmp,email
13482,icmp,sv_P1
32901,icmp,sv_P2
43669,udp,sv_P5
62567,icmp,sv_P3
31570,tcp,sv_P2
153,tcp,sv_P3
60672,udp,email
11375,tcp,sv_P4
64866,udp,sv_P4
30103,udp,sv_P2
56030,udp,email
64514,tcp,sv_P2
46400,udp,email
55963,udp,sv_P2
53782,udp,email
25720,udp,sv_P4
39663,udp,sv_P2
40055,icmp,sv_P3
24025,icmp,sv_P4
55023,icmp,sv_P2
33651,tcp,sv_P4
48693,udp,sv_P3
37304,tcp,email
24982,tcp,sv_P4
27794,icmp,email
44455,udp,sv_P3
52013,icmp,email
44145,tcp,sv_P5
7104,icmp,sv_P3
27699,tcp,sv_P2
62600,tcp,sv_P2
30891,icmp,sv_P2
23771,tcp,sv_P2
25589,icmp,email
61634,tcp,sv_P5
35343,tcp,sv_P2
59938,icmp,email
12733,tcp,email
18564,icmp,sv_P5
63887,udp,sv_P4
41176,udp,sv_P5
22882,udp,sv_P3
25691,tcp,sv_P5
49828,tcp,email
3609,icmp,sv_P4
9815,udp,sv_P3
4612,icmp,sv_P2
24836,icmp,sv_P3
59919,icmp,sv_P4
56027,udp,email
47129,udp,sv_P3
39825,icmp,sv_P5
59045,udp,sv_P2
12039,icmp,sv_P3
44501,icmp,sv_P2
57912,udp,email
31172,icmp,sv_P3
2680,udp,email
64620,udp,email
26682,icmp,sv_P2
2082,icmp,sv_P4
47678,udp,sv_P1
23916,tcp,sv_P3
17011,icmp,sv_P5
36966,tcp,email
53248,icmp,email
61024,tcp,sv_P2
64597,udp,sv_P3
34120,udp,email
35880,udp,sv_P5
17702,tcp,sv_P3
23948,icmp,sv_P4
34542,udp,sv_P2
1888,icmp,sv_P4
42669,tcp,email
4415,tcp,sv_P5
37861,udp,sv_P1
6417,tcp,email
27995,tcp,sv_P5
64070,udp,sv_P5
9288,icmp,email
56072,udp,sv_P4
33434,icmp,sv_P4
23051,tcp,email
9595,icmp,sv_P1
22847,udp,sv_P3
4900,icmp,sv_P5
173,udp,email
62100,udp,sv_P3
14085,tcp,sv_P1
49978,icmp,sv_P2
58020,tcp,sv_P5
34038,udp,sv_P3
42842,udp,sv_P2
27676,udp,sv_P1
41123,icmp,sv_P4
62640,udp,sv_P3
53724,udp,sv_P1
49801,tcp,sv_P5
6165,icmp,sv_P5
52278,udp,sv_P1
64332,udp,email
33936,udp,sv_P2
13030,udp,sv_P4
57039,udp,sv_P4
37597,udp,sv_P4
20451,icmp,sv_P4
2597,icmp,sv_P2
18677,icmp,sv_P5
54071,tcp,email
58191,icmp,sv_P2
32501,tcp,sv_P4
13078,udp,sv_P1
28664,udp,sv_P2
2594,tcp,sv_P5
24156,tcp,email
60998,tcp,sv_P5
470,tcp,sv_P5
19932,udp,sv_P3
49197,tcp,sv_P1
19679,tcp,sv_P1
17940,tcp,email
44889,icmp,sv_P4
38661,tcp,sv_P3
59970,udp,sv_P4
61377,icmp,sv_P3
44013,icmp,sv_P3
56364,udp,sv_P4
53795,udp,sv_P2
8300,tcp,email
31643,icmp,sv_P3
23030,icmp,sv_P3
13034,udp,sv_P4
61873,tcp,email
35064,udp,sv_P4
60387,tcp,sv_P3
59077,udp,email
58109,icmp,sv_P4
4499,udp,sv_P2
51127,icmp,sv_P2
46893,tcp,sv_P2
23015,icmp,sv_P5
58830,udp,sv_P4
23522,udp,sv_P4
7217,udp,sv_P3
33117,tcp,sv_P2
15760,tcp,sv_P4
2212,tcp,sv_P4
1642,icmp,sv_P3
46081,icmp,sv_P5
30271,udp,sv_P5
5170,udp,sv_P2
3309,icmp,sv_P1
25536,udp,email
57191,tcp,email
19378,tcp,sv_P4
5497,icmp,sv_P1
63179,tcp,sv_P3
44955,tcp,sv_P1
49999,icmp,sv_P1
9378,udp,sv_P3
35417,udp,email
13098,udp,sv_P3
32467,tcp,sv_P5
33494,icmp,sv_P2
38239,tcp,email
14,tcp,sv_P3
1150,icmp,sv_P2
48441,icmp,email
4632,tcp,sv_P1
30939,udp,sv_P2
24423,udp,sv_P5
56599,icmp,sv_P5
48466,udp,email
49454,icmp,sv_P4
52812,tcp,sv_P2
47207,udp,sv_P5
15923,tcp,sv_P3
24447,udp,sv_P3
14216,tcp,sv_P5
58876,udp,sv_P2
16686,icmp,sv_P3
28049,udp,sv_P4
61655,tcp,sv_P5
7587,udp,email
61651,udp,sv_P3
17366,udp,sv_P1
59280,icmp,sv_P5
64550,icmp,sv_P1
37486,tcp,sv_P1
12076,udp,sv_P5
8819,icmp,sv_P1
6849,icmp,email
44820,icmp,email
43476,icmp,email
15830,tcp,sv_P2
36739,udp,email
5346,icmp,sv_P3
50131,tcp,sv_P3
7757,udp,sv_P4
17171,udp,email
47052,udp,sv_P5
11411,tcp,sv_P5
49771,udp,sv_P5
626,udp,sv_P3
17917,tcp,sv_P2
14392,tcp,sv_P1
31201,tcp,sv_P1
35498,udp,sv_P5
33288,udp,sv_P5
1184,tcp,email
35365,tcp,sv_P5
2752,icmp,sv_P1
53969,icmp,sv_P5
57050,icmp,email
25170,udp,email
52854,udp,sv_P5
43871,tcp,sv_P4
18431,tcp,sv_P4
693,icmp,sv_P5
5636,udp,sv_P5
5144,icmp,email
58213,udp,sv_P1
36653,icmp,sv_P1
41818,icmp,email
42113,tcp,sv_P4
52840,icmp,sv_P4
51654,tcp,sv_P4
6939,udp,sv_P5
6305,udp,email
44263,udp,sv_P2
47149,icmp,sv_P3
9332,udp,sv_P2
64412,tcp,sv_P3
20565,icmp,sv_P4
930,tcp,email
48487,udp,sv_P1
28979,tcp,sv_P1
44404,udp,sv_P1
22914,udp,sv_P4
5736,udp,sv_P1
36079,tcp,sv_P3
31790,tcp,sv_P1
10738,udp,sv_P3
51821,icmp,email
30150,tcp,sv_P4
9553,icmp,email
49744,udp,sv_P5
22966,udp,sv_P1
60125,tcp,sv_P4
63663,icmp,email
15609,icmp,sv_P5
18611,tcp,sv_P2
10065,icmp,sv_P1
39000,udp,email
56504,udp,sv_P3
35396,icmp,sv_P1
50090,udp,sv_P4
62749,udp,sv_P1
45951,tcp,sv_P4
26113,udp,sv_P3
64215,udp,sv_P5
15378,tcp,sv_P3
10379,udp,sv_P1
28435,icmp,sv_P2
111,icmp,sv_P3
65194,udp,email
61107,icmp,email
15583,tcp,sv_P4
26192,icmp,email
437,tcp,sv_P3
59334,icmp,sv_P5
51026,icmp,sv_P2
19889,tcp,email
19913,tcp,sv_P1
9193,tcp,email
4449,icmp,sv_P5
56938,icmp,sv_P1
13602,icmp,sv_P5
54298,udp,sv_P3
29638,icmp,sv_P5
26426,icmp,sv_P5
40077,udp,sv_P2
44285,tcp,sv_P1
63752,udp,sv_P2
30932,icmp,email
8212,udp,sv_P5
53860,tcp,sv_P2
46013,tcp,sv_P2
27264,tcp,sv_P3
15218,tcp,sv_P4
4735,tcp,sv_P1
16170,icmp,sv_P5
58276,tcp,sv_P5
58867,tcp,sv_P2
25597,udp,email
44580,udp,sv_P4
41763,tcp,sv_P3
16553,udp,sv_P3
42542,tcp,email
53005,icmp,sv_P1
42024,tcp,sv_P5
52479,icmp,sv_P2
57363,udp,sv_P2
34488,icmp,email
63187,icmp,sv_P4
23849,icmp,email
54895,icmp,sv_P5
62557,icmp,sv_P2
10454,tcp,sv_P1
31226,udp,sv_P5
54158,udp,sv_P2
53049,icmp,email
25489,icmp,sv_P1
6421,icmp,sv_P1
59010,tcp,sv_P2
22403,icmp,sv_P2
38614,tcp,sv_P4
11677,icmp,sv_P1
22272,icmp,email
22634,tcp,sv_P5
55851,tcp,sv_P4
44622,udp,sv_P2
21725,udp,email
20264,icmp,sv_P2
28081,tcp,sv_P2
24052,tcp,email
2024,udp,sv_P2
43712,icmp,sv_P3
5311,icmp,sv_P4
31855,icmp,sv_P5
31561,tcp,sv_P5
39504,icmp,sv_P2
44690,icmp,sv_P5
60279,tcp,sv_P2
5372,tcp,sv_P5
59873,udp,email
64196,udp,sv_P1
11461,udp,sv_P1
52021,icmp,sv_P2
816,icmp,email
59078,udp,sv_P3
51628,tcp,sv_P1
17733,udp,sv_P4
12051,udp,sv_P4
60974,icmp,sv_P2
44253,icmp,sv_P2
21859,tcp,email
24354,tcp,email
20010,udp,email
21544,udp,sv_P3
84,tcp,sv_P4
15452,udp,sv_P3
61336,tcp,email
60011,icmp,sv_P5
59624,tcp,sv_P3
35553,tcp,email
58927,tcp,email
13474,udp,sv_P2
19067,udp,sv_P4
50468,udp,sv_P4
46700,icmp,sv_P3
13524,icmp,email
58318,tcp,sv_P3
35215,udp,sv_P1
16851,icmp,sv_P1
29511,udp,sv_P5
2638,udp,sv_P1
17843,tcp,sv_P2
47974,tcp,sv_P4
17980,udp,sv_P5
57299,icmp,sv_P3
35722,tcp,email
15127,tcp,sv_P1
28664,udp,sv_P5
49408,udp,sv_P2
40973,icmp,sv_P1
16506,tcp,sv_P2
1476,udp,sv_P4
41558,tcp,sv_P4
61952,tcp,sv_P5
37683,tcp,sv_P5
39984,tcp,sv_P3
44326,udp,sv_P5
43968,udp,email
34866,tcp,sv_P5
18959,tcp,sv_P1
31013,icmp,email
48121,tcp,sv_P3
36601,udp,sv_P2
2654,icmp,sv_P3
37450,icmp,sv_P5
12698,udp,sv_P5
50913,icmp,sv_P3
21492,tcp,sv_P5
40581,tcp,email
36994,udp,sv_P1
52632,icmp,email
1361,udp,sv_P1
18268,udp,sv_P1
43689,udp,sv_P3
1463,icmp,email
36473,udp,sv_P5
48802,icmp,sv_P1
65385,tcp,email
20536,icmp,sv_P1
14813,udp,sv_P1
63930,udp,sv_P5
54888,tcp,sv_P5
30049,tcp,sv_P3
55823,tcp,sv_P2
36828,icmp,sv_P1
49111,icmp,sv_P4
37595,icmp,sv_P2
29628,tcp,sv_P1
24048,icmp,sv_P2
35625,icmp,sv_P5
38471,icmp,sv_P3
9610,tcp,sv_P3
16142,tcp,sv_P4
32363,udp,sv_P4
35255,icmp,sv_P2
3075,icmp,sv_P1
21259,icmp,sv_P2
46143,udp,sv_P2
30049,icmp,email
31688,tcp,sv_P1
30841,udp,sv_P5
45938,icmp,sv_P3
36976,udp,sv_P4
11531,tcp,email
38765,icmp,sv_P1
8027,icmp,sv_P1
42820,udp,sv_P4
7985,icmp,sv_P5
62772,tcp,sv_P4
48136,tcp,sv_P5
23138,udp,email
46009,tcp,sv_P5
3062,icmp,sv_P2
29751,udp,sv_P4
10028,udp,sv_P1
1324,tcp,sv_P2
10576,tcp,sv_P4
51719,icmp,sv_P2
9286,icmp,sv_P2
15143,udp,sv_P5
34378,tcp,sv_P3
39364,icmp,sv_P2
17028,icmp,sv_P2
32606,icmp,sv_P5
51184,udp,sv_P3
24017,icmp,sv_P2
22780,tcp,sv_P1
26691,icmp,email
54266,tcp,sv_P3
47888,icmp,sv_P2
65324,icmp,sv_P5
43489,tcp,email
45633,udp,sv_P5
56016,udp,sv_P1
35851,icmp,sv_P5
11272,tcp,sv_P5
52412,tcp,email
62837,tcp,sv_P4
28983,icmp,sv_P1
31973,tcp,sv_P3
23927,udp,sv_P5
13715,udp,sv_P1
48714,tcp,email
28918,udp,sv_P2
27001,tcp,sv_P1
13626,tcp,sv_P3
24974,udp,email
3051,icmp,sv_P3
30956,icmp,sv_P5
48626,tcp,sv_P1
51159,udp,sv_P3
58351,tcp,email
34593,udp,sv_P5
15911,tcp,sv_P3
18527,icmp,sv_P1
26548,icmp,sv_P4
753,udp,sv_P1
14921,udp,sv_P5
22462,icmp,sv_P3
56346,icmp,sv_P3
32363,icmp,sv_P2
12096,tcp,email
15999,udp,sv_P1
5859,tcp,sv_P3
61373,icmp,sv_P5
21248,udp,sv_P4
21537,udp,sv_P3
37880,udp,sv_P4
1400,udp,sv_P2
29167,udp,sv_P2
52954,tcp,email
64110,tcp,email
57321,icmp,sv_P4
46020,icmp,sv_P4
44962,tcp,sv_P1
62221,tcp,sv_P4
60609,udp,sv_P5
38519,icmp,sv_P4
52358,tcp,sv_P2
29971,udp,sv_P5
43301,icmp,sv_P3
56923,icmp,sv_P1
26093,udp,sv_P2
57206,tcp,sv_P1
16582,tcp,email
52284,icmp,sv_P3
56110,udp,sv_P1
30250,udp,sv_P2
45559,icmp,sv_P1
56465,tcp,sv_P3
61072,udp,sv_P1
52832,udp,sv_P4
51346,udp,email
58012,icmp,email
42059,tcp,sv_P5
12543,udp,sv_P3
2927,udp,sv_P2
17801,tcp,sv_P5
63316,tcp,email
35607,icmp,sv_P1
23413,icmp,sv_P1
53424,tcp,sv_P4
27316,udp,sv_P5
40832,tcp,sv_P1
36534,udp,email
35397,udp,sv_P4
55348,tcp,sv_P4
35823,icmp,sv_P3
36257,udp,email
35435,icmp,sv_P2
18678,udp,sv_P3
44518,tcp,sv_P1
57432,icmp,email
49290,icmp,sv_P1
10281,icmp,sv_P1
14159,tcp,sv_P3
26242,udp,email
6202,tcp,sv_P5
18438,udp,sv_P4
35677,icmp,sv_P3
29704,udp,sv_P1
47730,icmp,email
25205,tcp,email
46287,icmp,sv_P4
30443,udp,sv_P5
21436,tcp,sv_P5
24241,udp,sv_P3
3234,tcp,sv_P3
56004,tcp,email
19228,tcp,sv_P4
42643,udp,sv_P3
28161,udp,sv_P5
57202,icmp,sv_P1
19817,udp,sv_P3
63799,icmp,sv_P3
98,tcp,sv_P4
7634,icmp,email
56915,udp,sv_P2
23963,tcp,sv_P2
63726,udp,sv_P4
48334,tcp,email
7565,tcp,sv_P2
12747,udp,sv_P5
49197,tcp,sv_P3
22827,tcp,email
39151,icmp,email
27519,udp,sv_P4
31681,tcp,sv_P1
44006,udp,sv_P3
7196,tcp,email
25600,icmp,sv_P1
17754,tcp,email
37238,udp,sv_P2
5693,tcp,sv_P4
61562,udp,sv_P1
44434,udp,sv_P5
7238,tcp,sv_P2
51985,icmp,email
64943,udp,sv_P4
34076,udp,sv_P3
18771,icmp,sv_P3
51120,udp,sv_P3
56596,icmp,sv_P1
33363,tcp,email
8357,tcp,sv_P1
7358,icmp,email
47075,icmp,sv_P2
64994,udp,sv_P4
20760,tcp,sv_P1
10858,udp,sv_P2
63010,tcp,sv_P5
12934,udp,sv_P1
42809,tcp,sv_P4
41034,tcp,sv_P2
60997,tcp,sv_P1
41699,udp,sv_P4
7740,tcp,sv_P2
63969,udp,sv_P3
41849,udp,email
37466,udp,sv_P3
21779,udp,sv_P1
56327,udp,email
23421,tcp,sv_P4
32713,tcp,sv_P2
36877,udp,sv_P4
52025,udp,sv_P4
57393,udp,sv_P5
36618,udp,sv_P5
43655,icmp,sv_P5
44477,icmp,sv_P5
2942,tcp,sv_P4
20915,udp,sv_P2
14284,icmp,sv_P3
5667,udp,sv_P3
46545,tcp,sv_P1
23450,tcp,sv_P2
19269,udp,sv_P2
20612,icmp,sv_P2
37475,tcp,sv_P4
52674,tcp,sv_P3
53437,tcp,sv_P2
15280,tcp,sv_P3
57291,tcp,sv_P1
20842,udp,sv_P5
48636,udp,sv_P2
61382,udp,sv_P5
5228,udp,sv_P5
58408,icmp,sv_P4
33078,icmp,sv_P2
9473,udp,sv_P4
6624,tcp,sv_P2
42987,icmp,sv_P4
25855,icmp,email
22680,tcp,sv_P5
25279,udp,sv_P1
43461,icmp,sv_P5
44723,udp,sv_P3
30056,icmp,sv_P4
21386,udp,sv_P1
34288,icmp,email
14790,udp,sv_P2
58401,icmp,sv_P4
13734,udp,email
3555,udp,sv_P4
49399,icmp,sv_P1
60096,tcp,email
5883,tcp,sv_P5
23574,tcp,sv_P2
64289,tcp,sv_P5
61406,icmp,email
22154,udp,email
59428,udp,sv_P2
34039,tcp,sv_P2
16356,icmp,sv_P1
16697,tcp,sv_P2
38027,udp,sv_P4
10146,udp,sv_P4
15300,udp,sv_P5
5389,tcp,sv_P3
33632,icmp,email
62371,tcp,sv_P2
54206,udp,email
21019,tcp,sv_P4
43494,icmp,sv_P5
41539,tcp,sv_P1
10027,tcp,email
38157,udp,email
35129,udp,sv_P1
42541,udp,sv_P4
32476,tcp,email
56213,udp,sv_P4
18800,tcp,email
48686,udp,email
35675,tcp,sv_P2
7918,udp,sv_P2
35027,icmp,sv_P5
11485,udp,sv_P5
18329,icmp,sv_P2
58974,udp,sv_P5
15568,icmp,sv_P4
44625,tcp,sv_P4
14316,tcp,sv_P5
19861,udp,sv_P4
13394,tcp,sv_P3
40935,tcp,email
48256,tcp,sv_P2
63476,tcp,sv_P1
25271,udp,sv_P2
2429,udp,sv_P5
14817,udp,sv_P2
62493,tcp,sv_P2
63597,udp,sv_P1
9710,tcp,email
20284,udp,sv_P4
4277,udp,sv_P1
28359,tcp,sv_P4
21351,tcp,email
49204,udp,sv_P3
3326,icmp,email
47437,icmp,sv_P4
52112,udp,sv_P2
26800,icmp,sv_P4
40283,icmp,email
56544,icmp,email
2169,icmp,sv_P5
8456,icmp,sv_P1
29206,udp,sv_P3
2107,tcp,sv_P5
51356,tcp,sv_P4
60168,icmp,sv_P5
35121,udp,sv_P3
37685,tcp,sv_P4
23876,icmp,sv_P2
52812,udp,sv_P3
42730,tcp,sv_P2
54825,udp,email
64592,tcp,sv_P3
30401,tcp,sv_P1
42509,icmp,sv_P5
45572,udp,email
37949,icmp,sv_P3
17114,udp,email
31662,tcp,sv_P2
44429,tcp,email
46215,icmp,sv_P3
54838,tcp,sv_P5
22042,icmp,email
39434,udp,sv_P1
60442,udp,sv_P1
52195,tcp,sv_P2
35540,udp,sv_P3
45983,icmp,sv_P3
62382,tcp,sv_P2
52889,tcp,sv_P5
6464,tcp,sv_P4
43456,icmp,sv_P2
23180,tcp,sv_P1
59039,icmp,sv_P3
33963,tcp,email
46404,tcp,sv_P3
24161,icmp,sv_P2
40978,udp,sv_P1
39078,udp,email
53166,udp,sv_P2
37325,icmp,sv_P4
2245,udp,sv_P2
18452,udp,email
63153,udp,sv_P2
6175,tcp,sv_P3
33832,udp,sv_P3
36153,icmp,email
7671,udp,sv_P2
58882,icmp,sv_P4
6735,udp,sv_P1
59487,icmp,email
32972,tcp,email
55789,tcp,email
18984,icmp,sv_P1
8065,udp,sv_P3
4983,tcp,email
14509,udp,email
40839,udp,sv_P4
29948,udp,email
21121,udp,sv_P3
46330,icmp,sv_P4
29692,tcp,sv_P5
1736,tcp,email
17572,udp,sv_P1
62795,icmp,sv_P3
12066,tcp,sv_P2
10027,icmp,sv_P5
31910,tcp,sv_P4
21983,tcp,sv_P2
14938,tcp,email
11533,icmp,email
36854,tcp,sv_P1
61637,icmp,sv_P1
41107,udp,email
59409,tcp,sv_P4
10944,tcp,sv_P5
6767,udp,sv_P2
16374,icmp,sv_P2
58178,tcp,sv_P3
46375,tcp,sv_P4
7992,udp,sv_P1
47305,icmp,sv_P1
38141,udp,sv_P1
11912,tcp,sv_P4
13078,tcp,sv_P3
53384,udp,sv_P5
2508,udp,email
12731,icmp,sv_P5
36379,tcp,sv_P5
28093,icmp,sv_P4
18035,tcp,sv_P4
6408,icmp,sv_P2
1758,tcp,sv_P3
24183,icmp,sv_P2
54678,tcp,email
13283,udp,sv_P1
14682,icmp,sv_P2
60524,udp,sv_P3
61946,udp,sv_P3
65168,tcp,email
23922,icmp,sv_P3
42621,icmp,sv_P2
56707,icmp,sv_P4
26653,tcp,sv_P4
22141,icmp,sv_P3
36467,tcp,sv_P4
5110,tcp,sv_P1
3536,udp,sv_P5
1049,tcp,sv_P4
2642,udp,sv_P5
16047,tcp,sv_P4
39770,udp,sv_P2
44407,icmp,sv_P2
3857,tcp,sv_P4
9456,udp,sv_P4
61199,udp,email
22930,udp,sv_P1
26827,udp,sv_P4
5769,tcp,sv_P3
55638,tcp,sv_P3
42736,udp,sv_P4
62778,tcp,sv_P3
34987,icmp,email
31852,icmp,sv_P2
3979,udp,sv_P4
9907,tcp,sv_P5
46494,icmp,sv_P5
51114,udp,sv_P5
54387,tcp,email
14593,icmp,sv_P1
58699,tcp,sv_P2
14399,udp,sv_P5
358,udp,sv_P1
13910,icmp,sv_P1
24044,tcp,sv_P5
9198,tcp,email
38090,udp,sv_P5
10156,tcp,sv_P5
27023,udp,sv_P3
35991,udp,sv_P2
45950,icmp,sv_P1
39157,tcp,sv_P4
58096,icmp,sv_P5
51401,tcp,email
11574,icmp,email
17640,tcp,sv_P2
38948,tcp,sv_P1
6145,icmp,email
29434,icmp,sv_P4
37603,udp,sv_P4
2479,udp,email
20281,udp,sv_P1
20344,icmp,sv_P3
26629,tcp,email
9051,icmp,sv_P4
38723,tcp,sv_P2
51725,icmp,sv_P3
12118,icmp,email
31283,udp,sv_P5
43046,udp,email
11787,tcp,email
58704,icmp,sv_P3
11783,udp,sv_P3
30202,tcp,sv_P4
41291,tcp,sv_P3
29601,icmp,sv_P2
239,icmp,sv_P2
65231,udp,sv_P5
64463,icmp,sv_P5
38517,tcp,sv_P4
28859,icmp,sv_P4
19420,tcp,sv_P2
11492,udp,sv_P4
32446,icmp,sv_P1
31263,tcp,sv_P5
5864,tcp,sv_P1
17376,udp,sv_P2
37860,icmp,email
45540,tcp,sv_P5
10631,udp,sv_P3
21224,udp,sv_P4
786,icmp,sv_P3
40705,tcp,email
18098,icmp,sv_P2
32,tcp,sv_P3
11067,tcp,sv_P1
47706,icmp,sv_P5
39101,tcp,sv_P3
25703,udp,sv_P1
11378,udp,sv_P3
24127,tcp,sv_P4
